Lat,Long,Value
29.472055353535353,-82.65814212121212,22
29.477468888888886,-82.65814212121212,22
29.482882424242423,-82.65814212121212,22
29.48829595959596,-82.65814212121212,22
29.493709494949492,-82.65814212121212,22
29.49912303030303,-82.65814212121212,22
29.504536565656565,-82.65814212121212,22
29.5099501010101,-82.65814212121212,22
29.515363636363634,-82.65814212121212,22
29.52077717171717,-82.65814212121212,22
29.526190707070707,-82.65814212121212,22
29.53160424242424,-82.65814212121212,22
29.537017777777777,-82.65814212121212,22
29.542431313131313,-82.65814212121212,22
29.547844848484846,-82.65814212121212,22
29.553258383838383,-82.65814212121212,22
29.55867191919192,-82.65814212121212,22
29.564085454545452,-82.65814212121212,22
29.56949898989899,-82.65814212121212,22
29.574912525252525,-82.65814212121212,22
29.58032606060606,-82.65814212121212,22
29.585739595959595,-82.65814212121212,22
29.59115313131313,-82.65814212121212,22
29.596566666666664,-82.65814212121212,22
29.6019802020202,-82.65814212121212,22
29.607393737373737,-82.65814212121212,22
29.61280727272727,-82.65814212121212,22
29.618220808080807,-82.65814212121212,22
29.623634343434343,-82.65814212121212,22
29.629047878787876,-82.65814212121212,22
29.634461414141413,-82.65814212121212,22
29.63987494949495,-82.65814212121212,22
29.645288484848482,-82.65814212121212,22
29.65070202020202,-82.65814212121212,22
29.656115555555555,-82.65814212121212,22
29.661529090909088,-82.65814212121212,22
29.666942626262625,-82.65814212121212,22
29.67235616161616,-82.65814212121212,22
29.677769696969694,-82.65814212121212,22
29.68318323232323,-82.65814212121212,22
29.688596767676767,-82.65814212121212,22
29.694010303030304,-82.65814212121212,22
29.699423838383836,-82.65814212121212,22
29.704837373737373,-82.65814212121212,22
29.71025090909091,-82.65814212121212,22
29.715664444444442,-82.65814212121212,22
29.72107797979798,-82.65814212121212,22
29.726491515151515,-82.65814212121212,22
29.73190505050505,-82.65814212121212,22
29.737318585858585,-82.65814212121212,22
29.74273212121212,-82.65814212121212,22
29.748145656565654,-82.65814212121212,22
29.75355919191919,-82.65814212121212,22
29.758972727272727,-82.65814212121212,22
29.76438626262626,-82.65814212121212,22
29.769799797979797,-82.65814212121212,22
29.775213333333333,-82.65814212121212,22
29.780626868686866,-82.65814212121212,22
29.786040404040403,-82.65814212121212,22
29.79145393939394,-82.65814212121212,22
29.796867474747472,-82.65814212121212,22
29.80228101010101,-82.65814212121212,22
29.807694545454545,-82.65814212121212,22
29.813108080808078,-82.65814212121212,22
29.818521616161615,-82.65814212121212,22
29.82393515151515,-82.65814212121212,22
29.829348686868684,-82.65814212121212,22
29.83476222222222,-82.65814212121212,22
29.840175757575757,-82.65814212121212,22
29.84558929292929,-82.65814212121212,22
29.851002828282827,-82.65814212121212,22
29.856416363636363,-82.65814212121212,22
29.861829898989896,-82.65814212121212,22
29.867243434343433,-82.65814212121212,22
29.87265696969697,-82.65814212121212,22
29.878070505050506,-82.65814212121212,22
29.88348404040404,-82.65814212121212,22
29.888897575757575,-82.65814212121212,22
29.89431111111111,-82.65814212121212,22
29.899724646464644,-82.65814212121212,22
29.90513818181818,-82.65814212121212,22
29.910551717171717,-82.65814212121212,22
29.91596525252525,-82.65814212121212,22
29.921378787878787,-82.65814212121212,22
29.926792323232323,-82.65814212121212,22
29.932205858585856,-82.65814212121212,22
29.937619393939393,-82.65814212121212,22
29.94303292929293,-82.65814212121212,22
29.948446464646462,-82.65814212121212,22
29.95386,-82.65814212121212,22
29.41792,-82.65193424242425,22
29.423333535353535,-82.65193424242425,22
29.428747070707068,-82.65193424242425,22
29.434160606060605,-82.65193424242425,22
29.43957414141414,-82.65193424242425,22
29.444987676767674,-82.65193424242425,22
29.45040121212121,-82.65193424242425,22
29.455814747474747,-82.65193424242425,22
29.46122828282828,-82.65193424242425,22
29.466641818181817,-82.65193424242425,22
29.472055353535353,-82.65193424242425,22
29.477468888888886,-82.65193424242425,22
29.482882424242423,-82.65193424242425,22
29.48829595959596,-82.65193424242425,22
29.493709494949492,-82.65193424242425,22
29.49912303030303,-82.65193424242425,22
29.504536565656565,-82.65193424242425,22
29.5099501010101,-82.65193424242425,22
29.515363636363634,-82.65193424242425,22
29.52077717171717,-82.65193424242425,22
29.526190707070707,-82.65193424242425,22
29.53160424242424,-82.65193424242425,22
29.537017777777777,-82.65193424242425,22
29.542431313131313,-82.65193424242425,22
29.547844848484846,-82.65193424242425,22
29.553258383838383,-82.65193424242425,22
29.55867191919192,-82.65193424242425,22
29.564085454545452,-82.65193424242425,22
29.56949898989899,-82.65193424242425,22
29.574912525252525,-82.65193424242425,22
29.58032606060606,-82.65193424242425,22
29.585739595959595,-82.65193424242425,22
29.59115313131313,-82.65193424242425,22
29.596566666666664,-82.65193424242425,22
29.6019802020202,-82.65193424242425,22
29.607393737373737,-82.65193424242425,22
29.61280727272727,-82.65193424242425,22
29.618220808080807,-82.65193424242425,22
29.623634343434343,-82.65193424242425,22
29.629047878787876,-82.65193424242425,22
29.634461414141413,-82.65193424242425,22
29.63987494949495,-82.65193424242425,22
29.645288484848482,-82.65193424242425,22
29.65070202020202,-82.65193424242425,22
29.656115555555555,-82.65193424242425,22
29.661529090909088,-82.65193424242425,22
29.666942626262625,-82.65193424242425,22
29.67235616161616,-82.65193424242425,22
29.677769696969694,-82.65193424242425,22
29.68318323232323,-82.65193424242425,22
29.688596767676767,-82.65193424242425,22
29.694010303030304,-82.65193424242425,22
29.699423838383836,-82.65193424242425,22
29.704837373737373,-82.65193424242425,22
29.71025090909091,-82.65193424242425,22
29.715664444444442,-82.65193424242425,22
29.72107797979798,-82.65193424242425,22
29.726491515151515,-82.65193424242425,22
29.73190505050505,-82.65193424242425,22
29.737318585858585,-82.65193424242425,22
29.74273212121212,-82.65193424242425,22
29.748145656565654,-82.65193424242425,22
29.75355919191919,-82.65193424242425,22
29.758972727272727,-82.65193424242425,22
29.76438626262626,-82.65193424242425,22
29.769799797979797,-82.65193424242425,22
29.775213333333333,-82.65193424242425,22
29.780626868686866,-82.65193424242425,22
29.786040404040403,-82.65193424242425,22
29.79145393939394,-82.65193424242425,22
29.796867474747472,-82.65193424242425,22
29.80228101010101,-82.65193424242425,22
29.807694545454545,-82.65193424242425,22
29.813108080808078,-82.65193424242425,22
29.818521616161615,-82.65193424242425,22
29.82393515151515,-82.65193424242425,22
29.829348686868684,-82.65193424242425,22
29.83476222222222,-82.65193424242425,22
29.840175757575757,-82.65193424242425,22
29.84558929292929,-82.65193424242425,22
29.851002828282827,-82.65193424242425,22
29.856416363636363,-82.65193424242425,22
29.861829898989896,-82.65193424242425,22
29.867243434343433,-82.65193424242425,22
29.87265696969697,-82.65193424242425,22
29.878070505050506,-82.65193424242425,22
29.88348404040404,-82.65193424242425,22
29.888897575757575,-82.65193424242425,22
29.89431111111111,-82.65193424242425,22
29.899724646464644,-82.65193424242425,22
29.90513818181818,-82.65193424242425,22
29.910551717171717,-82.65193424242425,22
29.91596525252525,-82.65193424242425,22
29.921378787878787,-82.65193424242425,22
29.926792323232323,-82.65193424242425,22
29.932205858585856,-82.65193424242425,22
29.937619393939393,-82.65193424242425,22
29.94303292929293,-82.65193424242425,22
29.948446464646462,-82.65193424242425,22
29.95386,-82.65193424242425,22
29.41792,-82.64572636363636,22
29.423333535353535,-82.64572636363636,22
29.428747070707068,-82.64572636363636,22
29.434160606060605,-82.64572636363636,22
29.43957414141414,-82.64572636363636,22
29.444987676767674,-82.64572636363636,22
29.45040121212121,-82.64572636363636,22
29.455814747474747,-82.64572636363636,22
29.46122828282828,-82.64572636363636,22
29.466641818181817,-82.64572636363636,22
29.472055353535353,-82.64572636363636,22
29.477468888888886,-82.64572636363636,22
29.482882424242423,-82.64572636363636,22
29.48829595959596,-82.64572636363636,22
29.493709494949492,-82.64572636363636,22
29.49912303030303,-82.64572636363636,22
29.504536565656565,-82.64572636363636,22
29.5099501010101,-82.64572636363636,22
29.515363636363634,-82.64572636363636,22
29.52077717171717,-82.64572636363636,22
29.526190707070707,-82.64572636363636,22
29.53160424242424,-82.64572636363636,22
29.537017777777777,-82.64572636363636,22
29.542431313131313,-82.64572636363636,22
29.547844848484846,-82.64572636363636,22
29.553258383838383,-82.64572636363636,22
29.55867191919192,-82.64572636363636,22
29.564085454545452,-82.64572636363636,22
29.56949898989899,-82.64572636363636,22
29.574912525252525,-82.64572636363636,22
29.58032606060606,-82.64572636363636,22
29.585739595959595,-82.64572636363636,22
29.59115313131313,-82.64572636363636,22
29.596566666666664,-82.64572636363636,22
29.6019802020202,-82.64572636363636,22
29.607393737373737,-82.64572636363636,22
29.61280727272727,-82.64572636363636,22
29.618220808080807,-82.64572636363636,22
29.623634343434343,-82.64572636363636,22
29.629047878787876,-82.64572636363636,22
29.634461414141413,-82.64572636363636,22
29.63987494949495,-82.64572636363636,22
29.645288484848482,-82.64572636363636,22
29.65070202020202,-82.64572636363636,22
29.656115555555555,-82.64572636363636,22
29.661529090909088,-82.64572636363636,22
29.666942626262625,-82.64572636363636,22
29.67235616161616,-82.64572636363636,22
29.677769696969694,-82.64572636363636,22
29.68318323232323,-82.64572636363636,22
29.688596767676767,-82.64572636363636,22
29.694010303030304,-82.64572636363636,22
29.699423838383836,-82.64572636363636,22
29.704837373737373,-82.64572636363636,22
29.71025090909091,-82.64572636363636,22
29.715664444444442,-82.64572636363636,22
29.72107797979798,-82.64572636363636,22
29.726491515151515,-82.64572636363636,22
29.73190505050505,-82.64572636363636,22
29.737318585858585,-82.64572636363636,22
29.74273212121212,-82.64572636363636,22
29.748145656565654,-82.64572636363636,22
29.75355919191919,-82.64572636363636,22
29.758972727272727,-82.64572636363636,22
29.76438626262626,-82.64572636363636,22
29.769799797979797,-82.64572636363636,22
29.775213333333333,-82.64572636363636,22
29.780626868686866,-82.64572636363636,22
29.786040404040403,-82.64572636363636,22
29.79145393939394,-82.64572636363636,22
29.796867474747472,-82.64572636363636,22
29.80228101010101,-82.64572636363636,22
29.807694545454545,-82.64572636363636,22
29.813108080808078,-82.64572636363636,22
29.818521616161615,-82.64572636363636,22
29.82393515151515,-82.64572636363636,22
29.829348686868684,-82.64572636363636,22
29.83476222222222,-82.64572636363636,22
29.840175757575757,-82.64572636363636,22
29.84558929292929,-82.64572636363636,22
29.851002828282827,-82.64572636363636,22
29.856416363636363,-82.64572636363636,22
29.861829898989896,-82.64572636363636,22
29.867243434343433,-82.64572636363636,22
29.87265696969697,-82.64572636363636,22
29.878070505050506,-82.64572636363636,22
29.88348404040404,-82.64572636363636,22
29.888897575757575,-82.64572636363636,22
29.89431111111111,-82.64572636363636,22
29.899724646464644,-82.64572636363636,22
29.90513818181818,-82.64572636363636,22
29.910551717171717,-82.64572636363636,22
29.91596525252525,-82.64572636363636,22
29.921378787878787,-82.64572636363636,22
29.926792323232323,-82.64572636363636,22
29.932205858585856,-82.64572636363636,22
29.937619393939393,-82.64572636363636,22
29.94303292929293,-82.64572636363636,22
29.948446464646462,-82.64572636363636,22
29.95386,-82.64572636363636,22
29.41792,-82.63951848484848,22
29.423333535353535,-82.63951848484848,22
29.428747070707068,-82.63951848484848,22
29.434160606060605,-82.63951848484848,22
29.43957414141414,-82.63951848484848,22
29.444987676767674,-82.63951848484848,22
29.45040121212121,-82.63951848484848,22
29.455814747474747,-82.63951848484848,22
29.46122828282828,-82.63951848484848,22
29.466641818181817,-82.63951848484848,22
29.472055353535353,-82.63951848484848,22
29.477468888888886,-82.63951848484848,22
29.482882424242423,-82.63951848484848,22
29.48829595959596,-82.63951848484848,22
29.493709494949492,-82.63951848484848,22
29.49912303030303,-82.63951848484848,22
29.504536565656565,-82.63951848484848,22
29.5099501010101,-82.63951848484848,22
29.515363636363634,-82.63951848484848,22
29.52077717171717,-82.63951848484848,22
29.526190707070707,-82.63951848484848,22
29.53160424242424,-82.63951848484848,22
29.537017777777777,-82.63951848484848,22
29.542431313131313,-82.63951848484848,22
29.547844848484846,-82.63951848484848,22
29.553258383838383,-82.63951848484848,22
29.55867191919192,-82.63951848484848,22
29.564085454545452,-82.63951848484848,22
29.56949898989899,-82.63951848484848,22
29.574912525252525,-82.63951848484848,22
29.58032606060606,-82.63951848484848,22
29.585739595959595,-82.63951848484848,22
29.59115313131313,-82.63951848484848,22
29.596566666666664,-82.63951848484848,22
29.6019802020202,-82.63951848484848,22
29.607393737373737,-82.63951848484848,22
29.61280727272727,-82.63951848484848,22
29.618220808080807,-82.63951848484848,22
29.623634343434343,-82.63951848484848,22
29.629047878787876,-82.63951848484848,22
29.634461414141413,-82.63951848484848,22
29.63987494949495,-82.63951848484848,22
29.645288484848482,-82.63951848484848,22
29.65070202020202,-82.63951848484848,22
29.656115555555555,-82.63951848484848,22
29.661529090909088,-82.63951848484848,22
29.666942626262625,-82.63951848484848,22
29.67235616161616,-82.63951848484848,22
29.677769696969694,-82.63951848484848,22
29.68318323232323,-82.63951848484848,22
29.688596767676767,-82.63951848484848,22
29.694010303030304,-82.63951848484848,22
29.699423838383836,-82.63951848484848,22
29.704837373737373,-82.63951848484848,22
29.71025090909091,-82.63951848484848,22
29.715664444444442,-82.63951848484848,22
29.72107797979798,-82.63951848484848,22
29.726491515151515,-82.63951848484848,22
29.73190505050505,-82.63951848484848,22
29.737318585858585,-82.63951848484848,22
29.74273212121212,-82.63951848484848,22
29.748145656565654,-82.63951848484848,22
29.75355919191919,-82.63951848484848,22
29.758972727272727,-82.63951848484848,22
29.76438626262626,-82.63951848484848,22
29.769799797979797,-82.63951848484848,22
29.775213333333333,-82.63951848484848,22
29.780626868686866,-82.63951848484848,22
29.786040404040403,-82.63951848484848,22
29.79145393939394,-82.63951848484848,22
29.796867474747472,-82.63951848484848,22
29.80228101010101,-82.63951848484848,22
29.807694545454545,-82.63951848484848,22
29.813108080808078,-82.63951848484848,22
29.818521616161615,-82.63951848484848,22
29.82393515151515,-82.63951848484848,22
29.829348686868684,-82.63951848484848,22
29.83476222222222,-82.63951848484848,22
29.840175757575757,-82.63951848484848,22
29.84558929292929,-82.63951848484848,22
29.851002828282827,-82.63951848484848,22
29.856416363636363,-82.63951848484848,22
29.861829898989896,-82.63951848484848,22
29.867243434343433,-82.63951848484848,22
29.87265696969697,-82.63951848484848,22
29.878070505050506,-82.63951848484848,22
29.88348404040404,-82.63951848484848,22
29.888897575757575,-82.63951848484848,22
29.89431111111111,-82.63951848484848,22
29.899724646464644,-82.63951848484848,22
29.90513818181818,-82.63951848484848,22
29.910551717171717,-82.63951848484848,22
29.91596525252525,-82.63951848484848,22
29.921378787878787,-82.63951848484848,22
29.926792323232323,-82.63951848484848,22
29.932205858585856,-82.63951848484848,22
29.937619393939393,-82.63951848484848,22
29.94303292929293,-82.63951848484848,22
29.948446464646462,-82.63951848484848,22
29.95386,-82.63951848484848,22
29.41792,-82.6333106060606,22
29.423333535353535,-82.6333106060606,22
29.428747070707068,-82.6333106060606,22
29.434160606060605,-82.6333106060606,22
29.43957414141414,-82.6333106060606,22
29.444987676767674,-82.6333106060606,22
29.45040121212121,-82.6333106060606,22
29.455814747474747,-82.6333106060606,22
29.46122828282828,-82.6333106060606,22
29.466641818181817,-82.6333106060606,22
29.472055353535353,-82.6333106060606,22
29.477468888888886,-82.6333106060606,22
29.482882424242423,-82.6333106060606,22
29.48829595959596,-82.6333106060606,22
29.493709494949492,-82.6333106060606,22
29.49912303030303,-82.6333106060606,22
29.504536565656565,-82.6333106060606,22
29.5099501010101,-82.6333106060606,22
29.515363636363634,-82.6333106060606,22
29.52077717171717,-82.6333106060606,22
29.526190707070707,-82.6333106060606,22
29.53160424242424,-82.6333106060606,22
29.537017777777777,-82.6333106060606,22
29.542431313131313,-82.6333106060606,22
29.547844848484846,-82.6333106060606,22
29.553258383838383,-82.6333106060606,22
29.55867191919192,-82.6333106060606,22
29.564085454545452,-82.6333106060606,22
29.56949898989899,-82.6333106060606,22
29.574912525252525,-82.6333106060606,22
29.58032606060606,-82.6333106060606,22
29.585739595959595,-82.6333106060606,22
29.59115313131313,-82.6333106060606,22
29.596566666666664,-82.6333106060606,22
29.6019802020202,-82.6333106060606,22
29.607393737373737,-82.6333106060606,22
29.61280727272727,-82.6333106060606,22
29.618220808080807,-82.6333106060606,22
29.623634343434343,-82.6333106060606,22
29.629047878787876,-82.6333106060606,22
29.634461414141413,-82.6333106060606,22
29.63987494949495,-82.6333106060606,22
29.645288484848482,-82.6333106060606,22
29.65070202020202,-82.6333106060606,22
29.656115555555555,-82.6333106060606,22
29.661529090909088,-82.6333106060606,22
29.666942626262625,-82.6333106060606,22
29.67235616161616,-82.6333106060606,22
29.677769696969694,-82.6333106060606,22
29.68318323232323,-82.6333106060606,22
29.688596767676767,-82.6333106060606,22
29.694010303030304,-82.6333106060606,22
29.699423838383836,-82.6333106060606,22
29.704837373737373,-82.6333106060606,22
29.71025090909091,-82.6333106060606,22
29.715664444444442,-82.6333106060606,22
29.72107797979798,-82.6333106060606,22
29.726491515151515,-82.6333106060606,22
29.73190505050505,-82.6333106060606,22
29.737318585858585,-82.6333106060606,22
29.74273212121212,-82.6333106060606,22
29.748145656565654,-82.6333106060606,22
29.75355919191919,-82.6333106060606,22
29.758972727272727,-82.6333106060606,22
29.76438626262626,-82.6333106060606,22
29.769799797979797,-82.6333106060606,22
29.775213333333333,-82.6333106060606,22
29.780626868686866,-82.6333106060606,22
29.786040404040403,-82.6333106060606,22
29.79145393939394,-82.6333106060606,22
29.796867474747472,-82.6333106060606,22
29.80228101010101,-82.6333106060606,22
29.807694545454545,-82.6333106060606,22
29.813108080808078,-82.6333106060606,22
29.818521616161615,-82.6333106060606,22
29.82393515151515,-82.6333106060606,22
29.829348686868684,-82.6333106060606,22
29.83476222222222,-82.6333106060606,22
29.840175757575757,-82.6333106060606,22
29.84558929292929,-82.6333106060606,22
29.851002828282827,-82.6333106060606,22
29.856416363636363,-82.6333106060606,22
29.861829898989896,-82.6333106060606,22
29.867243434343433,-82.6333106060606,22
29.87265696969697,-82.6333106060606,22
29.878070505050506,-82.6333106060606,22
29.88348404040404,-82.6333106060606,22
29.888897575757575,-82.6333106060606,22
29.89431111111111,-82.6333106060606,22
29.899724646464644,-82.6333106060606,22
29.90513818181818,-82.6333106060606,22
29.910551717171717,-82.6333106060606,22
29.91596525252525,-82.6333106060606,22
29.921378787878787,-82.6333106060606,22
29.926792323232323,-82.6333106060606,22
29.932205858585856,-82.6333106060606,22
29.937619393939393,-82.6333106060606,22
29.94303292929293,-82.6333106060606,22
29.948446464646462,-82.6333106060606,22
29.95386,-82.6333106060606,22
29.41792,-82.62710272727273,22
29.423333535353535,-82.62710272727273,22
29.428747070707068,-82.62710272727273,22
29.434160606060605,-82.62710272727273,22
29.43957414141414,-82.62710272727273,22
29.444987676767674,-82.62710272727273,22
29.45040121212121,-82.62710272727273,22
29.455814747474747,-82.62710272727273,22
29.46122828282828,-82.62710272727273,22
29.466641818181817,-82.62710272727273,22
29.472055353535353,-82.62710272727273,22
29.477468888888886,-82.62710272727273,22
29.482882424242423,-82.62710272727273,22
29.48829595959596,-82.62710272727273,22
29.493709494949492,-82.62710272727273,22
29.49912303030303,-82.62710272727273,22
29.504536565656565,-82.62710272727273,22
29.5099501010101,-82.62710272727273,22
29.515363636363634,-82.62710272727273,22
29.52077717171717,-82.62710272727273,22
29.526190707070707,-82.62710272727273,22
29.53160424242424,-82.62710272727273,22
29.537017777777777,-82.62710272727273,22
29.542431313131313,-82.62710272727273,22
29.547844848484846,-82.62710272727273,22
29.553258383838383,-82.62710272727273,22
29.55867191919192,-82.62710272727273,22
29.564085454545452,-82.62710272727273,22
29.56949898989899,-82.62710272727273,22
29.574912525252525,-82.62710272727273,22
29.58032606060606,-82.62710272727273,22
29.585739595959595,-82.62710272727273,22
29.59115313131313,-82.62710272727273,22
29.596566666666664,-82.62710272727273,22
29.6019802020202,-82.62710272727273,22
29.607393737373737,-82.62710272727273,22
29.61280727272727,-82.62710272727273,22
29.618220808080807,-82.62710272727273,22
29.623634343434343,-82.62710272727273,22
29.629047878787876,-82.62710272727273,22
29.634461414141413,-82.62710272727273,22
29.63987494949495,-82.62710272727273,22
29.645288484848482,-82.62710272727273,22
29.65070202020202,-82.62710272727273,22
29.656115555555555,-82.62710272727273,22
29.661529090909088,-82.62710272727273,22
29.666942626262625,-82.62710272727273,22
29.67235616161616,-82.62710272727273,22
29.677769696969694,-82.62710272727273,22
29.68318323232323,-82.62710272727273,22
29.688596767676767,-82.62710272727273,22
29.694010303030304,-82.62710272727273,22
29.699423838383836,-82.62710272727273,22
29.704837373737373,-82.62710272727273,22
29.71025090909091,-82.62710272727273,22
29.715664444444442,-82.62710272727273,22
29.72107797979798,-82.62710272727273,22
29.726491515151515,-82.62710272727273,22
29.73190505050505,-82.62710272727273,22
29.737318585858585,-82.62710272727273,22
29.74273212121212,-82.62710272727273,22
29.748145656565654,-82.62710272727273,22
29.75355919191919,-82.62710272727273,22
29.758972727272727,-82.62710272727273,22
29.76438626262626,-82.62710272727273,22
29.769799797979797,-82.62710272727273,22
29.775213333333333,-82.62710272727273,22
29.780626868686866,-82.62710272727273,22
29.786040404040403,-82.62710272727273,22
29.79145393939394,-82.62710272727273,22
29.796867474747472,-82.62710272727273,22
29.80228101010101,-82.62710272727273,22
29.807694545454545,-82.62710272727273,22
29.813108080808078,-82.62710272727273,22
29.818521616161615,-82.62710272727273,22
29.82393515151515,-82.62710272727273,22
29.829348686868684,-82.62710272727273,22
29.83476222222222,-82.62710272727273,22
29.840175757575757,-82.62710272727273,22
29.84558929292929,-82.62710272727273,22
29.851002828282827,-82.62710272727273,22
29.856416363636363,-82.62710272727273,22
29.861829898989896,-82.62710272727273,22
29.867243434343433,-82.62710272727273,22
29.87265696969697,-82.62710272727273,22
29.878070505050506,-82.62710272727273,22
29.88348404040404,-82.62710272727273,22
29.888897575757575,-82.62710272727273,22
29.89431111111111,-82.62710272727273,22
29.899724646464644,-82.62710272727273,22
29.90513818181818,-82.62710272727273,22
29.910551717171717,-82.62710272727273,22
29.91596525252525,-82.62710272727273,22
29.921378787878787,-82.62710272727273,22
29.926792323232323,-82.62710272727273,22
29.932205858585856,-82.62710272727273,22
29.937619393939393,-82.62710272727273,22
29.94303292929293,-82.62710272727273,22
29.948446464646462,-82.62710272727273,22
29.95386,-82.62710272727273,22
29.41792,-82.62089484848485,22
29.423333535353535,-82.62089484848485,22
29.428747070707068,-82.62089484848485,22
29.434160606060605,-82.62089484848485,22
29.43957414141414,-82.62089484848485,22
29.444987676767674,-82.62089484848485,22
29.45040121212121,-82.62089484848485,22
29.455814747474747,-82.62089484848485,22
29.46122828282828,-82.62089484848485,22
29.466641818181817,-82.62089484848485,22
29.472055353535353,-82.62089484848485,22
29.477468888888886,-82.62089484848485,22
29.482882424242423,-82.62089484848485,22
29.48829595959596,-82.62089484848485,22
29.493709494949492,-82.62089484848485,22
29.49912303030303,-82.62089484848485,22
29.504536565656565,-82.62089484848485,22
29.5099501010101,-82.62089484848485,22
29.515363636363634,-82.62089484848485,22
29.52077717171717,-82.62089484848485,22
29.526190707070707,-82.62089484848485,22
29.53160424242424,-82.62089484848485,22
29.537017777777777,-82.62089484848485,22
29.542431313131313,-82.62089484848485,22
29.547844848484846,-82.62089484848485,22
29.553258383838383,-82.62089484848485,22
29.55867191919192,-82.62089484848485,22
29.564085454545452,-82.62089484848485,22
29.56949898989899,-82.62089484848485,22
29.574912525252525,-82.62089484848485,22
29.58032606060606,-82.62089484848485,22
29.585739595959595,-82.62089484848485,22
29.59115313131313,-82.62089484848485,22
29.596566666666664,-82.62089484848485,22
29.6019802020202,-82.62089484848485,22
29.607393737373737,-82.62089484848485,22
29.61280727272727,-82.62089484848485,22
29.618220808080807,-82.62089484848485,22
29.623634343434343,-82.62089484848485,22
29.629047878787876,-82.62089484848485,22
29.634461414141413,-82.62089484848485,22
29.63987494949495,-82.62089484848485,22
29.645288484848482,-82.62089484848485,22
29.65070202020202,-82.62089484848485,22
29.656115555555555,-82.62089484848485,22
29.661529090909088,-82.62089484848485,22
29.666942626262625,-82.62089484848485,22
29.67235616161616,-82.62089484848485,22
29.677769696969694,-82.62089484848485,22
29.68318323232323,-82.62089484848485,22
29.688596767676767,-82.62089484848485,22
29.694010303030304,-82.62089484848485,22
29.699423838383836,-82.62089484848485,22
